user_fullname;user_email;user_uuid;user_country;user_dept
Richard Henderson;richard.henderson@toucan.com;fe121840-acd4-4383-bec4-2c0211b39794;Norway;R&D
Yolanda Boyer;yolanda.boyer@toucan.com;8b587b3b-2ab6-4ec4-9052-6c1584403031;Bresil;Sales
Bradley Herring;bradley.herring@toucan.com;a5f5910e-5dd1-46dd-b464-56499eb4d043;Germany;Finance
Gerald Arroyo;gerald.arroyo@toucan.com;59e5dc33-e2d5-483b-8b1e-58f3eefad405;Canada;Sales
Heather Hughes;heather.hughes@toucan.com;9374e5cc-bd8a-41e6-ae20-67258e51f8c7;France;Sales
Mary Rivera;mary.rivera@toucan.com;edc68a5d-f28c-4df0-93bf-8f7ccab38595;Germany;Data
Dennis Ramsey;dennis.ramsey@toucan.com;ddf6aac1-b989-48f5-809e-b029e5d0cdcc;Spain;R&D
Janice Cardenas;janice.cardenas@toucan.com;d2e0216f-82d7-4fe7-8990-373d9d407aa1;United States;Customer Operations
Mark Blackburn;mark.blackburn@toucan.com;7114e521-eedd-46b0-a064-37576daa69cb;Norway;Finance
Angela Hawkins;angela.hawkins@toucan.com;e683d4dc-b186-428c-9baa-4a473001b78b;Norway;Data
Katie Chan;katie.chan@toucan.com;d35d9371-2f00-4776-9422-3dddfff1b043;Norway;R&D
Rebecca Hall;rebecca.hall@toucan.com;ffc04e8c-cd20-4af1-b0f5-94ca908d0e10;Bresil;Finance
Christie Miller;christie.miller@toucan.com;684e5576-edce-4539-b602-a437d6074329;Italy;Data
Sean Stephenson;sean.stephenson@toucan.com;74ae87e7-07fd-44ec-a283-5ff661121b13;Spain;Customer Operations
Katelyn Smith;katelyn.smith@toucan.com;cbfebcfd-cfb1-4392-9165-1fb6279dc7f2;Canada;R&D
Michael Nelson;michael.nelson@toucan.com;084e43b6-2d32-4908-bfc9-efa5fb9b3ae6;Canada;Sales
Casey Smith;casey.smith@toucan.com;6c95dad4-9f61-480e-9915-0a45e7541b17;Spain;Sales
Michelle Nelson;michelle.nelson@toucan.com;4e0553a3-b7ea-445c-ba13-bd2e97d7808b;United States;Customer Operations
Lance Martin;lance.martin@toucan.com;bc648a52-9f0c-4f3e-8755-40ab2d48d076;France;Finance
Joshua Anderson;joshua.anderson@toucan.com;38e54064-d5c8-4e11-becf-ac81b24bbda1;Spain;Customer Operations
Kari Smith;kari.smith@toucan.com;27bca9a4-4057-468a-be8f-5a233d66bdca;Italy;Executive Board
Angela Tucker;angela.tucker@toucan.com;efd736aa-46af-4774-8340-ae63e6052a34;Italy;Customer Operations
Robert Cross;robert.cross@toucan.com;1ab20d9d-7cb3-428e-99f2-e9a7baf5118e;United States;Sales
Rickey Jones;rickey.jones@toucan.com;cf6013f1-ab71-40f2-bf4d-1d4f9cb663d1;Bresil;Finance
Steven Stanton;steven.stanton@toucan.com;86a37aba-50b6-4e02-a40c-3f078c1acac5;United States;Executive Board
William Stevens;william.stevens@toucan.com;749930c7-4aa8-42d6-8ad8-30f6aa6f85eb;United States;Finance
Monica Adams;monica.adams@toucan.com;70718da4-ceb9-42e4-8a20-5fbc238451b5;United States;Data
Brenda Porter;brenda.porter@toucan.com;41269e41-68af-457e-95af-425482b4ecf7;Norway;Customer Operations
Darlene Kennedy;darlene.kennedy@toucan.com;c1c30099-a970-45cd-b5ef-9748e702ba57;Bresil;Executive Board
Andrew Davis;andrew.davis@toucan.com;dcc8b132-e763-40f2-af37-43aff48f76a9;Bresil;Finance
Michael Love;michael.love@toucan.com;05ad082b-3736-4fe1-8ab3-7727e4a11631;France;Data
James White;james.white@toucan.com;4788a6d6-727f-4b63-9048-0ccc38a524cd;Italy;Sales
Ronald Morris;ronald.morris@toucan.com;865750af-4824-4d77-ada9-d3104918c468;United States;Finance
Michael Taylor;michael.taylor@toucan.com;64e709b0-7d75-48e9-97da-feb4ebbf521e;Italy;Customer Operations
Sandra Anderson;sandra.anderson@toucan.com;e13d36d8-5e44-410c-b6d1-8eee5a1e0901;Italy;Finance
Cassandra Ali;cassandra.ali@toucan.com;d4860b86-73c6-4057-a6e3-4b045e43ba14;Germany;Customer Operations
Kathleen Williams;kathleen.williams@toucan.com;3606327f-9350-427d-8078-d90e0c9708d7;Bresil;Data
Louis Lopez;louis.lopez@toucan.com;bf839c8c-d85d-44fb-8f4c-dd4c132828ac;France;Executive Board
James Lee;james.lee@toucan.com;df96f0f4-ac27-42f4-83eb-bf3b61ff20cc;Canada;R&D
James Baker;james.baker@toucan.com;8ed09e74-c84d-44bf-b3d1-83bb429ea795;United States;R&D
William Craig;william.craig@toucan.com;69d15997-c62d-4483-a16f-a2913a5c9862;France;Customer Operations
Tonya Jones;tonya.jones@toucan.com;d9bc29da-8b64-4676-b9ab-38df46062534;United States;Sales
Mary Jenkins;mary.jenkins@toucan.com;003f3d5c-ac22-42a1-8c10-14f3eeadf14b;Bresil;Finance
Andrew Hughes;andrew.hughes@toucan.com;ba0cbb74-7d9e-4e08-bf45-5f2a84ac32b1;Norway;R&D
Christian Soto;christian.soto@toucan.com;072cc093-0065-41ae-b527-17f9bd8f369e;United States;Customer Operations
Tim Smith;tim.smith@toucan.com;5e76761a-4e73-4f20-9e0f-f5385cc71640;United States;Executive Board
Rhonda Gallegos;rhonda.gallegos@toucan.com;41f179a6-0120-440a-a1ba-95dca4bb731b;Canada;Finance
Justin Bryant;justin.bryant@toucan.com;7da14672-36b3-4f44-9e02-fac68f626a7f;Norway;R&D
Rebecca Barnes;rebecca.barnes@toucan.com;59599142-fa67-4ee8-b016-743bd5532ccc;United States;R&D
Katie Brown;katie.brown@toucan.com;88a11d1e-88c9-4db7-9d27-a1d7f2ff0d3b;France;Data
Ryan Weaver;ryan.weaver@toucan.com;63171598-4da8-4ed5-a30e-c06a8643976a;Bresil;Customer Operations
Jessica Gray;jessica.gray@toucan.com;f6ff8251-c5b9-4809-8ca4-de7f45190f67;Canada;Data
Stephanie Hernandez;stephanie.hernandez@toucan.com;cedf26d1-a492-4f12-95ce-3613c24f1994;Norway;Customer Operations
Rebecca Patterson;rebecca.patterson@toucan.com;a2643b43-6112-4155-b1dd-a1e64dc88bca;United States;Data
Laura Hill;laura.hill@toucan.com;44e9dbab-ed61-4263-96a0-035952592e86;Bresil;Customer Operations
Christine Warren;christine.warren@toucan.com;a5419acf-57ef-4440-be1e-16c4cd058094;France;Customer Operations
Jennifer Curtis;jennifer.curtis@toucan.com;5b724428-8774-4e08-b23f-70a32017dab7;Germany;Data
Audrey Warner;audrey.warner@toucan.com;b244bc46-0580-4146-a592-f86a58e4e621;Norway;Executive Board
Karen Schmidt;karen.schmidt@toucan.com;9798c55f-27a0-4dc6-b29f-b361a0e40182;Italy;Sales
Andrew Nielsen;andrew.nielsen@toucan.com;f9f29505-0060-4c75-a5f9-c071b66f57c4;Bresil;R&D
Kayla Richards;kayla.richards@toucan.com;228daf00-7004-4b98-ac6a-0129926b38c6;Bresil;R&D
Linda Fisher;linda.fisher@toucan.com;74855a7c-ed93-4e01-a552-2d193301341f;United States;R&D
Wayne Vazquez;wayne.vazquez@toucan.com;845eedab-97bd-4e08-9807-0bd3c4cc621d;France;Sales
Robert Brown;robert.brown@toucan.com;d0e396be-4164-4e3a-9599-b0c01988d5db;Spain;R&D
Lindsay West;lindsay.west@toucan.com;3b99b0ff-c06a-4952-a7f8-c4a8152f1f2e;Canada;Executive Board
Frank Hensley;frank.hensley@toucan.com;d8d8f8e1-16d7-4b79-b342-2365b697c75f;Bresil;Executive Board
Chase Wilson;chase.wilson@toucan.com;a8267446-8714-4deb-91bc-d58f74a0030f;Bresil;R&D
Levi Carpenter;levi.carpenter@toucan.com;9b4efaad-543c-4a31-a9f2-c669bdb46592;Bresil;Sales
Amy Morris;amy.morris@toucan.com;3dbbfa02-4527-4771-9e74-742928c608d7;Germany;Customer Operations
Kathy Logan;kathy.logan@toucan.com;65eab852-5a09-4c2c-a4cd-bcbfbfa3e062;Spain;Executive Board
Brian Mann;brian.mann@toucan.com;abb8f521-08aa-4c13-8792-c0037d87abc0;Italy;Sales
Robin King;robin.king@toucan.com;42a6a624-0255-44b9-bf3a-4de6289d6fe5;Germany;Sales
Kristin Green;kristin.green@toucan.com;4d844c9c-1421-47fc-8a3b-ef76b335e341;United States;Executive Board
Timothy Bowman;timothy.bowman@toucan.com;c552f3c5-0154-4eca-9c57-3d338b7258b3;Norway;Customer Operations
William Palmer;william.palmer@toucan.com;a7965f05-9586-4f8f-9624-5632d44e62d0;Germany;Executive Board
Joel Wu;joel.wu@toucan.com;11dce274-e7a8-4f97-a087-18d2bedd7da8;Bresil;R&D
Lisa Jensen;lisa.jensen@toucan.com;5b8371ff-aeda-4420-9204-d3a9497bf196;Italy;R&D
Suzanne Evans;suzanne.evans@toucan.com;55b65fa9-23ae-4548-ae48-3f79d1808d4a;Canada;R&D
Latoya Fleming;latoya.fleming@toucan.com;4fbaa01a-f251-4cc0-adad-d1c84ad8f164;Norway;Executive Board
Jamie Hicks;jamie.hicks@toucan.com;35ddc99a-f9c3-4131-8705-46f110d88298;Canada;Executive Board
Ashley Ross;ashley.ross@toucan.com;ff8b257c-20a6-428b-b9a7-ac2be5123702;Canada;R&D
Heather Watson;heather.watson@toucan.com;cd4425ec-e562-4e32-ae86-dbc1c140362b;Germany;Sales
Kayla Perez;kayla.perez@toucan.com;2a7dbd06-b292-4c35-bed5-af761f5b8e7b;Bresil;R&D
Terri Lynch;terri.lynch@toucan.com;bb6973a5-0bf7-428a-9d11-7504f0502fa5;Norway;Customer Operations
Patrick Hicks;patrick.hicks@toucan.com;baa95371-eede-4d37-81c2-521aab621043;Germany;Finance
Jessica Brown;jessica.brown@toucan.com;f978e523-a2f9-4b79-b873-81450f78755d;United States;Sales
Robin Moore;robin.moore@toucan.com;c6e44960-4e52-41fb-9fa0-59376f9005ff;Canada;Executive Board
Amy Hall;amy.hall@toucan.com;11111c7f-d628-4652-8715-aa9f18b4ee58;Canada;Data
Gary Cruz;gary.cruz@toucan.com;d02f3008-fdb0-4c5d-8c43-c3e996da55b2;Norway;Customer Operations
Allison Gonzalez;allison.gonzalez@toucan.com;bc2604c7-9b3b-4d7c-842c-a975e1e98a8f;Italy;Data
