;id;contactid;opportunityid;role;contact_id;contact_accountid;contact_fullname;contact_job_title;opportunity_id;opportunity_accountid;opportunity_type;opportunity_ownerid;opportunity_deal_license_activation_start_date__c;opportunity_deal_license_activation_end_date__c;opportunity_closedate;opportunity_createddate;opportunity_opportunity_stage_status__c;opportunity_leadsource_category__c;opportunity_deal_total_non_recurring__c;opportunity_deal_total_recurring__c;opportunity_currencyisocode;opportunity_LeadSource;opportunity_Deal_use_case__c;opportunity_name
0;00K09000001go5REAQ;00309000008DXOTAA4;00609000007UWmfAAG;Economic Buyer;00309000008DXOTAA4;0010900000BxTkoAAF;Lindsey Hall;Production assistant, television;00609000007UWmfAAG;0010900000BxTkoAAF;Renew;00509000000V8fOAAS;2022-03-23;2023-03-22;2022-03-23;2021-03-23;Open;Marketing;0.0;17298.52;EUR; ; ;Public-key interactive product
1;00K090000019UUZEA2;00309000003sqKRAAY;00609000002IuTsAAK;Billing;00309000003sqKRAAY;00109000005fsnpAAA;Jason Nguyen;Tax adviser;00609000002IuTsAAK;00109000005fsnpAAA;Renew;00509000000V8eLAAS;2021-01-01;2021-12-31;2019-12-20;2020-12-10;Won;Marketing;0.0;23151.1;EUR;Marketing before 2021; ;Configurable reciprocal help-desk
2;00K09000001l1guEAA;0030900000A8Xa6AAF;00609000007UjslAAC;Champion;0030900000A8Xa6AAF;0010900000ELg9YAAT;Pamela Humphrey;Firefighter;00609000007UjslAAC;0010900000ELg9YAAT;New Business;00509000003zIYXAA2; ; ;2021-06-30;2021-04-08;Open;Marketing;0.0;0.0;USD;Software Comparison;Embedded Analytics for Software Companies;Multi-channeled bottom-line secured line
3;00K09000001goNsEAI;00309000008D2ynAAC;00609000007UZcRAAW;Billing;00309000008D2ynAAC;0010900000BwdotAAB;Tricia Clark;Programmer, systems;00609000007UZcRAAW;0010900000BwdotAAB;Renew;00509000000V8fOAAS;2022-05-01;2023-04-30;2022-05-01;2021-03-26;Open;Marketing;0.0;8738.810000000001;EUR; ; ;Multi-channeled value-added productivity
4;00K090000019NYPEA2;00309000003rxoNAAQ;00609000002J0NEAA0;Economic Buyer;00309000003rxoNAAQ;00109000005fskEAAQ;Sara Burke;Cabin crew;00609000002J0NEAA0;00109000005fskEAAQ;New Business;00509000000V8dwAAC; ; ;2021-03-25;2021-01-19;Lost;Sales Generated;0.0;0.0;EUR;Sales Generated Lead - by AE/AM;No specific Use Case yet;Automated asynchronous system engine
5;00K09000001gnfzEAA;00309000008DMMxAAO;00609000006seOeAAI;Champion;00309000008DMMxAAO;0010900000BxHnqAAF;Charles Oliver;Data processing manager;00609000006seOeAAI;0010900000BxHnqAAF;New Business;00509000000V8eGAAS; ; ;2021-05-31;2021-03-17;Open;SDR Generated;0.0;0.0;EUR;Sales Generated Lead - by SDR;Banking Monitoring;Up-sized bifurcated conglomeration
6;00K090000019No3EAE;00309000003s0gVAAQ;00609000002J2r7AAC;Champion;00309000003s0gVAAQ;00109000005gCehAAE;Wayne Simmons;Advertising account planner;00609000002J2r7AAC;00109000005gCehAAE;New Business;00509000002DYLzAAO; ; ;2021-07-31;2021-01-21;Open;Marketing;0.0;0.0;USD;Others Marketing;Embedded Analytics for Software Companies;Cross-group well-modulated extranet
7;00K09000001gfpKEAQ;00309000008D08iAAC;00609000006sYT1AAM;Champion;00309000008D08iAAC;0010900000BwI8pAAF;James Tapia;Catering manager;00609000006sYT1AAM;0010900000BwI8pAAF;New Business;00509000002DYM9AAO; ; ;2021-06-18;2021-03-08;Open;Marketing;0.0;0.0;EUR;Content, Events & webinar - Tradeshow, Club, Sponsorship;No specific Use Case yet;Face-to-face non-volatile superstructure
8;00K09000001goRxEAI;00309000003rXdEAAU;00609000007UZpdAAG;Billing;00309000003rXdEAAU;00109000005fucKAAQ;Laura Brown;Production designer, theatre/television/film;00609000007UZpdAAG;00109000005fucKAAQ;Renew;00509000000V8dXAAS;2022-05-01;2023-04-30;2022-05-01;2021-03-27;Open;Marketing;0.0;44861.38;EUR; ; ;Balanced 4thgeneration neural-net
9;00K09000001l2hsEAA;00309000003rsswAAA;00609000007UmmlAAC;Billing;00309000003rsswAAA;00109000005g01pAAA;Shane Flynn;Financial manager;00609000007UmmlAAC;00109000005g01pAAA;Renew;00509000000V8dSAAS;2022-06-02;2023-06-01;2022-06-02;2021-04-12;Open;Marketing;0.0;11837.96;EUR; ; ;Quality-focused fresh-thinking adapter
